Name	sR	sG	sB
PANTONE 8885 C	160	69	85
PANTONE 8900 C	163	81	56
PANTONE 8901 C	181	80	60
PANTONE 8902 C	183	80	79
PANTONE 8903 C	189	70	73
PANTONE 8904 C	188	78	87
PANTONE 8905 C	181	82	93
PANTONE 8920 C	161	93	66
PANTONE 8921 C	179	82	41
PANTONE 8922 C	183	79	13
PANTONE 8923 C	184	74	31
PANTONE 8924 C	180	79	45
PANTONE 8925 C	175	84	56
PANTONE 8940 C	162	99	41
PANTONE 8941 C	169	95	28
PANTONE 8942 C	174	89	11
PANTONE 8943 C	189	90	0
PANTONE 8944 C	184	94	23
PANTONE 8945 C	175	97	44
PANTONE 8960 C	155	112	44
PANTONE 8961 C	166	104	30
PANTONE 8962 C	173	108	0
PANTONE 8963 C	181	99	0
PANTONE 8964 C	173	102	28
PANTONE 8965 C	169	109	47
